card1,card2,board,score
A of Hearts,9 of Spades,8 of Spades | J of Hearts | 5 of Clubs | A of Clubs | 3 of Clubs,3434
9 of Hearts,A of Clubs,9 of Diamonds | 6 of Clubs | 8 of Clubs | K of Spades | J of Hearts,4427
A of Hearts,Q of Spades,8 of Diamonds | 5 of Diamonds | 7 of Clubs | 3 of Spades | K of Hearts,6209
8 of Diamonds,3 of Clubs,Q of Hearts | Q of Diamonds | 6 of Clubs | 4 of Hearts | A of Spades,3801
4 of Hearts,10 of Spades,10 of Hearts | 2 of Hearts | 9 of Hearts | K of Diamonds | J of Hearts,1372
2 of Hearts,J of Spades,10 of Spades | 3 of Diamonds | 9 of Hearts | 9 of Clubs | Q of Spades,4526
4 of Spades,10 of Spades,5 of Diamonds | 3 of Clubs | 6 of Diamonds | Q of Spades | 3 of Hearts,5857
3 of Hearts,4 of Clubs,A of Spades | 4 of Hearts | 8 of Spades | 8 of Diamonds | 5 of Clubs,3128
7 of Clubs,3 of Spades,9 of Spades | A of Diamonds | 4 of Clubs | 6 of Hearts | 3 of Clubs,5781
2 of Hearts,4 of Spades,Q of Diamonds | K of Diamonds | 10 of Hearts | 3 of Spades | 10 of Clubs,4267
8 of Hearts,10 of Spades,10 of Hearts | 3 of Diamonds | 6 of Clubs | A of Diamonds | 6 of Spades,2963
9 of Hearts,4 of Hearts,J of Hearts | K of Clubs | 9 of Clubs | 2 of Hearts | 7 of Hearts,1432
9 of Hearts,A of Diamonds,4 of Spades | 5 of Diamonds | 10 of Spades | 2 of Diamonds | J of Hearts,6473
J of Hearts,4 of Clubs,J of Diamonds | 10 of Diamonds | 4 of Hearts | 9 of Spades | 7 of Diamonds,2900
Q of Clubs,Q of Hearts,2 of Hearts | 8 of Clubs | J of Spades | 3 of Spades | J of Hearts,2725
10 of Clubs,3 of Hearts,8 of Spades | J of Spades | 8 of Diamonds | 10 of Hearts | 2 of Spades,2944
2 of Clubs,4 of Clubs,9 of Hearts | Q of Hearts | 7 of Spades | 4 of Hearts | 7 of Clubs,3185
4 of Clubs,2 of Clubs,7 of Spades | A of Diamonds | 6 of Clubs | 2 of Diamonds | 6 of Hearts,3249
5 of Diamonds,4 of Hearts,A of Diamonds | 10 of Diamonds | J of Hearts | J of Diamonds | 3 of Hearts,4009
J of Spades,10 of Diamonds,3 of Diamonds | 8 of Hearts | 9 of Hearts | 3 of Spades | 7 of Clubs,1603
3 of Hearts,2 of Clubs,5 of Hearts | 8 of Clubs | J of Diamonds | A of Clubs | 10 of Diamonds,6479
5 of Hearts,J of Clubs,8 of Spades | A of Diamonds | K of Diamonds | 3 of Clubs | A of Spades,3338
A of Spades,8 of Spades,4 of Hearts | 5 of Spades | Q of Spades | 6 of Spades | K of Diamonds,577
3 of Diamonds,9 of Hearts,8 of Hearts | 6 of Diamonds | 4 of Hearts | 10 of Hearts | 7 of Hearts,1480
5 of Spades,4 of Spades,3 of Spades | Q of Diamonds | A of Spades | 7 of Spades | K of Clubs,808
8 of Hearts,2 of Clubs,5 of Spades | 3 of Spades | 4 of Diamonds | 6 of Diamonds | J of Spades,1608
4 of Diamonds,7 of Clubs,7 of Spades | 4 of Clubs | Q of Diamonds | 2 of Hearts | Q of Spades,2773
2 of Diamonds,8 of Clubs,A of Hearts | 9 of Spades | 3 of Hearts | 5 of Clubs | 7 of Spades,6611
3 of Spades,9 of Hearts,4 of Spades | 4 of Diamonds | 7 of Clubs | K of Clubs | Q of Spades,5583
A of Clubs,4 of Hearts,K of Hearts | 4 of Clubs | 7 of Diamonds | 3 of Diamonds | 9 of Diamonds,5529
8 of Hearts,2 of Diamonds,5 of Clubs | Q of Hearts | J of Clubs | 9 of Spades | 7 of Hearts,7035
2 of Hearts,K of Hearts,3 of Diamonds | K of Spades | 5 of Diamonds | 8 of Clubs | 9 of Clubs,3712
5 of Diamonds,8 of Spades,10 of Clubs | 9 of Hearts | J of Hearts | 8 of Hearts | 3 of Diamonds,4782
9 of Clubs,Q of Hearts,2 of Hearts | 7 of Diamonds | J of Diamonds | A of Spades | Q of Spades,3777
6 of Spades,3 of Spades,10 of Spades | 6 of Diamonds | 4 of Diamonds | Q of Spades | K of Hearts,5142
J of Clubs,8 of Diamonds,9 of Spades | 9 of Diamonds | 2 of Clubs | 2 of Diamonds | 2 of Hearts,316
Q of Hearts,A of Diamonds,K of Clubs | Q of Clubs | J of Hearts | 10 of Diamonds | 10 of Hearts,1600
2 of Clubs,10 of Clubs,2 of Diamonds | 4 of Spades | 5 of Spades | 7 of Hearts | 3 of Diamonds,6142
5 of Clubs,5 of Diamonds,Q of Clubs | 8 of Hearts | A of Spades | 9 of Hearts | 2 of Hearts,5318
K of Clubs,A of Clubs,A of Diamonds | 3 of Spades | 2 of Clubs | 8 of Clubs | 5 of Spades,3362
A of Diamonds,4 of Clubs,4 of Hearts | J of Clubs | 2 of Spades | 5 of Hearts | 8 of Diamonds,5547
Q of Clubs,Q of Hearts,6 of Clubs | 7 of Clubs | J of Spades | 2 of Hearts | 3 of Hearts,3887
9 of Clubs,6 of Clubs,2 of Spades | J of Spades | 7 of Clubs | 10 of Spades | 9 of Hearts,4563
7 of Hearts,K of Hearts,10 of Clubs | 8 of Hearts | 3 of Hearts | J of Spades | 4 of Diamonds,6805
9 of Spades,4 of Hearts,3 of Hearts | Q of Diamonds | 8 of Spades | A of Clubs | 5 of Diamonds,6416
3 of Clubs,4 of Spades,5 of Spades | 2 of Clubs | 9 of Clubs | 6 of Hearts | J of Spades,1608
A of Spades,4 of Diamonds,A of Clubs | 5 of Diamonds | 8 of Hearts | J of Clubs | Q of Clubs,3383
J of Hearts,8 of Spades,K of Hearts | A of Hearts | 9 of Diamonds | 8 of Clubs | Q of Diamonds,4646
4 of Hearts,3 of Hearts,9 of Clubs | J of Spades | 3 of Diamonds | J of Diamonds | K of Clubs,2909
Q of Diamonds,9 of Hearts,4 of Spades | 8 of Spades | K of Hearts | A of Spades | 3 of Diamonds,6202
9 of Clubs,2 of Spades,K of Hearts | 10 of Clubs | 5 of Diamonds | 4 of Clubs | K of Clubs,3685
J of Spades,5 of Hearts,9 of Diamonds | K of Clubs | 4 of Clubs | A of Clubs | 10 of Spades,6230
7 of Hearts,9 of Spades,5 of Spades | 4 of Hearts | J of Diamonds | K of Spades | 9 of Clubs,4492
7 of Diamonds,J of Spades,6 of Clubs | 8 of Spades | 9 of Diamonds | 10 of Clubs | 5 of Hearts,1603
K of Spades,6 of Hearts,8 of Spades | K of Diamonds | 7 of Hearts | 7 of Clubs | 5 of Spades,2660
8 of Clubs,Q of Diamonds,10 of Diamonds | 5 of Diamonds | 7 of Spades | Q of Hearts | A of Diamonds,3786
3 of Diamonds,2 of Hearts,8 of Spades | A of Diamonds | 8 of Diamonds | 8 of Hearts | 3 of Clubs,249
Q of Clubs,9 of Diamonds,2 of Clubs | K of Hearts | J of Clubs | K of Diamonds | J of Spades,2612
10 of Clubs,10 of Hearts,A of Clubs | 9 of Clubs | 4 of Spades | J of Hearts | 7 of Spades,4225
3 of Clubs,Q of Spades,2 of Spades | 3 of Diamonds | 6 of Diamonds | 5 of Spades | K of Hearts,5806
J of Clubs,4 of Diamonds,2 of Diamonds | 8 of Hearts | 2 of Hearts | K of Clubs | K of Hearts,2712
K of Diamonds,J of Hearts,3 of Diamonds | 8 of Diamonds | K of Hearts | 6 of Diamonds | 10 of Spades,3647
6 of Clubs,K of Diamonds,7 of Spades | 6 of Diamonds | 2 of Diamonds | J of Hearts | J of Spades,2876
3 of Hearts,8 of Diamonds,8 of Clubs | 7 of Spades | 10 of Clubs | A of Diamonds | 2 of Spades,4674
5 of Clubs,3 of Diamonds,3 of Spades | 9 of Clubs | A of Clubs | 6 of Hearts | K of Hearts,5749
3 of Diamonds,5 of Diamonds,10 of Spades | A of Clubs | 2 of Diamonds | 3 of Clubs | 2 of Clubs,3315
5 of Hearts,Q of Diamonds,4 of Clubs | 7 of Clubs | K of Spades | 9 of Diamonds | 7 of Spades,4923
Q of Spades,3 of Hearts,7 of Diamonds | J of Clubs | 2 of Clubs | 10 of Spades | 5 of Spades,7021
8 of Diamonds,5 of Spades,9 of Clubs | 2 of Clubs | Q of Hearts | K of Diamonds | 8 of Hearts,4703
2 of Hearts,2 of Clubs,K of Diamonds | A of Spades | Q of Hearts | K of Spades | 9 of Diamonds,2710
7 of Hearts,8 of Hearts,2 of Spades | A of Spades | 10 of Spades | 10 of Diamonds | A of Clubs,2505
J of Spades,J of Hearts,6 of Diamonds | 3 of Spades | 8 of Hearts | J of Diamonds | 2 of Clubs,1854
9 of Hearts,3 of Clubs,K of Spades | J of Spades | 8 of Hearts | J of Hearts | A of Spades,3988
3 of Diamonds,9 of Spades,J of Clubs | 6 of Spades | 2 of Hearts | 7 of Spades | 9 of Hearts,4575
Q of Spades,2 of Clubs,7 of Diamonds | 7 of Clubs | J of Clubs | 10 of Diamonds | K of Diamonds,4921
K of Hearts,J of Clubs,7 of Diamonds | K of Clubs | 2 of Spades | Q of Clubs | K of Spades,1687
J of Hearts,8 of Spades,A of Clubs | 5 of Diamonds | 7 of Diamonds | 9 of Diamonds | Q of Diamonds,6358
10 of Clubs,10 of Spades,10 of Hearts | A of Clubs | K of Spades | 6 of Clubs | 4 of Hearts,1874
5 of Clubs,2 of Clubs,J of Spades | K of Spades | 10 of Clubs | 8 of Diamonds | Q of Hearts,6679
Q of Hearts,8 of Hearts,10 of Clubs | 6 of Spades | 9 of Diamonds | 9 of Hearts | A of Spades,4437
8 of Spades,J of Clubs,10 of Spades | 7 of Hearts | 6 of Clubs | 10 of Clubs | 8 of Hearts,2944
8 of Hearts,10 of Clubs,7 of Clubs | 7 of Diamonds | A of Diamonds | 2 of Spades | 3 of Clubs,4894
5 of Spades,A of Clubs,3 of Clubs | A of Diamonds | 10 of Clubs | 9 of Diamonds | 5 of Clubs,2559
8 of Diamonds,3 of Clubs,5 of Diamonds | 9 of Clubs | 7 of Diamonds | 2 of Clubs | 10 of Diamonds,7342
2 of Hearts,5 of Diamonds,3 of Hearts | 7 of Diamonds | 2 of Clubs | J of Hearts | 5 of Spades,3285
K of Diamonds,J of Hearts,8 of Diamonds | 6 of Spades | Q of Spades | 8 of Clubs | 9 of Diamonds,4701
2 of Clubs,3 of Spades,Q of Hearts | 9 of Hearts | 3 of Diamonds | K of Hearts | 5 of Spades,5803
8 of Spades,6 of Diamonds,4 of Clubs | 7 of Spades | 4 of Diamonds | J of Spades | Q of Diamonds,5628
K of Clubs,Q of Diamonds,5 of Hearts | 6 of Clubs | 6 of Diamonds | 8 of Diamonds | J of Spades,5141
10 of Hearts,4 of Diamonds,6 of Spades | 7 of Diamonds | 8 of Clubs | 2 of Spades | 4 of Clubs,5696
2 of Hearts,8 of Diamonds,A of Clubs | K of Spades | 8 of Clubs | 5 of Diamonds | Q of Spades,4646
Q of Spades,J of Diamonds,8 of Hearts | 7 of Clubs | 10 of Spades | 10 of Clubs | 6 of Spades,4307
3 of Clubs,A of Clubs,K of Diamonds | 2 of Diamonds | 10 of Spades | 5 of Diamonds | 3 of Spades,5748
J of Clubs,A of Spades,2 of Spades | 7 of Spades | K of Spades | 2 of Hearts | 6 of Diamonds,5967
8 of Clubs,8 of Diamonds,3 of Diamonds | 7 of Clubs | 7 of Diamonds | 4 of Spades | 10 of Spades,3099
8 of Hearts,3 of Hearts,Q of Hearts | A of Spades | 7 of Spades | A of Clubs | Q of Spades,2483
3 of Hearts,3 of Spades,J of Hearts | 9 of Diamonds | 3 of Diamonds | 10 of Diamonds | 4 of Clubs,2366
K of Spades,J of Hearts,K of Hearts | 7 of Hearts | K of Diamonds | J of Clubs | J of Diamonds,181
Q of Hearts,4 of Diamonds,2 of Hearts | 10 of Clubs | 8 of Spades | K of Spades | 8 of Clubs,4702
2 of Spades,8 of Hearts,5 of Hearts | 7 of Spades | 2 of Diamonds | 3 of Diamonds | 5 of Clubs,3288
Q of Hearts,7 of Clubs,10 of Clubs | 4 of Hearts | 4 of Clubs | 2 of Spades | J of Hearts,5626
8 of Spades,4 of Spades,4 of Hearts | 7 of Hearts | 6 of Clubs | 10 of Spades | 8 of Clubs,3132
2 of Diamonds,A of Diamonds,Q of Spades | J of Spades | K of Clubs | 5 of Clubs | 8 of Hearts,6187
3 of Spades,7 of Diamonds,2 of Diamonds | 3 of Clubs | K of Hearts | 6 of Hearts | 5 of Hearts,5836
Q of Clubs,10 of Hearts,K of Diamonds | 8 of Spades | 10 of Clubs | 4 of Spades | J of Diamonds,4261
8 of Spades,3 of Hearts,8 of Hearts | 5 of Hearts | A of Clubs | K of Spades | 6 of Diamonds,4651
9 of Diamonds,A of Hearts,K of Diamonds | 10 of Spades | 2 of Hearts | 8 of Clubs | 10 of Clubs,4208
7 of Diamonds,6 of Hearts,K of Diamonds | 2 of Spades | 7 of Clubs | 10 of Clubs | 3 of Spades,4940
K of Clubs,3 of Diamonds,9 of Clubs | 3 of Hearts | 4 of Diamonds | A of Diamonds | A of Hearts,2578
9 of Clubs,6 of Spades,9 of Hearts | A of Clubs | 2 of Clubs | 9 of Spades | 7 of Hearts,1945
8 of Hearts,5 of Spades,K of Clubs | 4 of Spades | 7 of Hearts | Q of Clubs | 7 of Diamonds,4924
8 of Spades,10 of Spades,3 of Clubs | 9 of Hearts | 7 of Spades | 8 of Hearts | 5 of Diamonds,4810
6 of Spades,10 of Clubs,8 of Clubs | A of Hearts | J of Spades | A of Clubs | Q of Hearts,3381
7 of Diamonds,10 of Hearts,4 of Spades | 9 of Hearts | 5 of Hearts | K of Spades | 10 of Clubs,4279
8 of Spades,10 of Diamonds,K of Spades | 6 of Diamonds | A of Spades | 2 of Hearts | 4 of Hearts,6274
10 of Hearts,Q of Hearts,2 of Diamonds | J of Diamonds | 10 of Diamonds | 10 of Clubs | 8 of Spades,1895
10 of Hearts,Q of Spades,3 of Clubs | 6 of Diamonds | J of Clubs | 9 of Spades | 10 of Clubs,4306
9 of Spades,4 of Clubs,9 of Clubs | 8 of Clubs | Q of Spades | 2 of Clubs | 5 of Spades,4543
7 of Diamonds,5 of Hearts,9 of Hearts | 8 of Clubs | 10 of Clubs | J of Diamonds | 7 of Spades,1603
10 of Spades,5 of Clubs,2 of Hearts | 5 of Diamonds | 9 of Diamonds | A of Hearts | 2 of Clubs,3282
4 of Diamonds,Q of Clubs,Q of Spades | A of Spades | J of Clubs | 5 of Spades | 3 of Clubs,3781
9 of Hearts,A of Clubs,8 of Spades | 2 of Diamonds | 6 of Diamonds | 3 of Spades | Q of Diamonds,6415
6 of Diamonds,2 of Hearts,2 of Clubs | J of Diamonds | K of Diamonds | 2 of Diamonds | A of Spades,2402
Q of Clubs,4 of Clubs,6 of Hearts | 7 of Clubs | 3 of Hearts | J of Diamonds | J of Clubs,4107
4 of Spades,J of Diamonds,4 of Diamonds | Q of Clubs | 9 of Diamonds | 8 of Diamonds | 5 of Diamonds,1418
2 of Diamonds,6 of Clubs,5 of Spades | 6 of Hearts | 2 of Hearts | 3 of Hearts | 3 of Diamonds,3246
6 of Diamonds,Q of Spades,10 of Diamonds | Q of Clubs | 3 of Spades | K of Diamonds | 2 of Clubs,3833
K of Spades,K of Hearts,A of Spades | 8 of Clubs | K of Diamonds | A of Clubs | 4 of Clubs,179
2 of Hearts,J of Hearts,10 of Spades | A of Diamonds | 9 of Clubs | 10 of Diamonds | 3 of Hearts,4225
J of Diamonds,Q of Diamonds,A of Diamonds | 5 of Clubs | 7 of Clubs | K of Diamonds | 6 of Spades,6188
2 of Clubs,3 of Diamonds,K of Spades | 8 of Spades | 10 of Spades | 7 of Hearts | 9 of Spades,6882
A of Spades,4 of Hearts,J of Hearts | 8 of Hearts | A of Diamonds | 9 of Hearts | 8 of Spades,2525
K of Clubs,5 of Clubs,J of Hearts | A of Hearts | 7 of Diamonds | Q of Clubs | K of Diamonds,3546
Q of Spades,10 of Diamonds,A of Hearts | 10 of Spades | 4 of Diamonds | 6 of Spades | K of Clubs,4206
10 of Spades,3 of Clubs,A of Clubs | 9 of Diamonds | 4 of Spades | 10 of Hearts | 6 of Clubs,4235
J of Diamonds,4 of Spades,Q of Hearts | 5 of Diamonds | 10 of Spades | 6 of Spades | 7 of Hearts,7020
2 of Clubs,8 of Hearts,7 of Spades | 10 of Diamonds | 2 of Spades | 6 of Spades | 9 of Diamonds,1604
9 of Spades,2 of Spades,4 of Hearts | 3 of Hearts | 10 of Spades | 3 of Spades | K of Diamonds,5818
6 of Clubs,7 of Spades,3 of Clubs | 5 of Hearts | 2 of Clubs | 4 of Clubs | 3 of Diamonds,1607
2 of Diamonds,7 of Clubs,K of Hearts | 8 of Spades | 6 of Hearts | 6 of Clubs | 7 of Hearts,3162
10 of Spades,A of Hearts,2 of Hearts | A of Clubs | 3 of Spades | 2 of Spades | 7 of Spades,2592
2 of Spades,A of Clubs,Q of Hearts | Q of Spades | K of Hearts | K of Diamonds | 2 of Hearts,2600
8 of Spades,5 of Spades,8 of Hearts | 6 of Hearts | 8 of Clubs | 6 of Spades | 3 of Hearts,246
Q of Clubs,K of Clubs,J of Hearts | 6 of Diamonds | J of Clubs | K of Spades | 2 of Clubs,2612
2 of Hearts,A of Diamonds,8 of Diamonds | J of Diamonds | Q of Diamonds | 6 of Clubs | 4 of Hearts,6366
K of Diamonds,7 of Hearts,9 of Diamonds | 9 of Clubs | 2 of Clubs | 6 of Diamonds | A of Hearts,4430
8 of Clubs,J of Diamonds,Q of Clubs | 10 of Clubs | A of Hearts | K of Diamonds | Q of Spades,1600
7 of Diamonds,9 of Clubs,3 of Hearts | A of Hearts | K of Clubs | J of Hearts | 9 of Diamonds,4427
3 of Hearts,7 of Diamonds,K of Diamonds | 6 of Spades | 4 of Spades | Q of Hearts | 7 of Hearts,4925
K of Clubs,Q of Clubs,8 of Hearts | 5 of Spades | 4 of Clubs | K of Diamonds | 10 of Hearts,3611
9 of Hearts,Q of Spades,J of Spades | 8 of Hearts | 7 of Diamonds | 6 of Clubs | A of Spades,6358
K of Clubs,8 of Spades,J of Hearts | 8 of Diamonds | 5 of Clubs | 2 of Diamonds | 7 of Hearts,4712
K of Diamonds,10 of Clubs,J of Spades | 6 of Spades | 3 of Clubs | 5 of Hearts | A of Spades,6233
7 of Clubs,8 of Spades,7 of Spades | 9 of Clubs | Q of Diamonds | 4 of Diamonds | 10 of Spades,4974
10 of Hearts,6 of Diamonds,7 of Diamonds | 2 of Clubs | J of Spades | 3 of Spades | 10 of Clubs,4355
6 of Spades,5 of Spades,9 of Spades | K of Clubs | 7 of Spades | 9 of Hearts | 2 of Spades,1569
5 of Hearts,K of Diamonds,9 of Hearts | 6 of Clubs | 10 of Clubs | Q of Diamonds | J of Diamonds,1601
9 of Hearts,7 of Hearts,8 of Hearts | J of Diamonds | 3 of Hearts | 10 of Diamonds | Q of Spades,1602
8 of Clubs,5 of Spades,4 of Spades | 2 of Clubs | 6 of Hearts | 2 of Hearts | Q of Hearts,6088
5 of Clubs,5 of Hearts,A of Clubs | 7 of Hearts | 8 of Diamonds | K of Hearts | Q of Spades,5306
6 of Diamonds,9 of Hearts,8 of Hearts | K of Diamonds | 3 of Diamonds | A of Spades | 3 of Hearts,5749
8 of Clubs,3 of Spades,2 of Hearts | 10 of Hearts | 10 of Clubs | 10 of Diamonds | 5 of Spades,1921
5 of Spades,K of Spades,4 of Hearts | J of Diamonds | 10 of Clubs | 8 of Diamonds | Q of Hearts,6679
7 of Spades,A of Diamonds,9 of Spades | A of Spades | 2 of Clubs | 8 of Hearts | 2 of Spades,2593
Q of Hearts,9 of Clubs,2 of Clubs | 9 of Diamonds | A of Diamonds | Q of Clubs | 3 of Clubs,2743
7 of Diamonds,8 of Spades,J of Diamonds | 10 of Clubs | 9 of Clubs | 8 of Clubs | K of Clubs,1603
J of Clubs,2 of Spades,A of Hearts | 9 of Clubs | 10 of Spades | 2 of Hearts | A of Clubs,2591
9 of Hearts,K of Hearts,2 of Spades | K of Spades | 10 of Clubs | 6 of Diamonds | 9 of Clubs,2636
K of Diamonds,5 of Clubs,8 of Diamonds | A of Clubs | 10 of Clubs | 3 of Clubs | 8 of Clubs,722
7 of Clubs,A of Diamonds,4 of Diamonds | J of Spades | 3 of Hearts | 9 of Clubs | 6 of Hearts,6504
4 of Hearts,10 of Spades,3 of Diamonds | 7 of Hearts | 8 of Spades | A of Hearts | Q of Spades,6393
J of Diamonds,3 of Clubs,J of Clubs | A of Diamonds | Q of Spades | 5 of Diamonds | 7 of Hearts,3999
2 of Hearts,J of Clubs,3 of Hearts | 2 of Diamonds | 7 of Spades | 2 of Spades | 8 of Spades,2434
2 of Hearts,10 of Diamonds,4 of Spades | 6 of Clubs | K of Diamonds | 4 of Hearts | K of Spades,2691
3 of Diamonds,10 of Spades,6 of Hearts | K of Diamonds | 8 of Clubs | 8 of Spades | 7 of Diamonds,4719
A of Hearts,A of Clubs,Q of Clubs | K of Clubs | 4 of Clubs | 5 of Spades | 7 of Spades,3330
J of Hearts,5 of Spades,Q of Clubs | 10 of Spades | K of Spades | Q of Hearts | 3 of Spades,3821
6 of Clubs,3 of Spades,7 of Diamonds | Q of Clubs | A of Diamonds | Q of Spades | Q of Diamonds,1747
3 of Diamonds,9 of Spades,K of Clubs | 7 of Diamonds | 2 of Clubs | 10 of Clubs | 3 of Spades,5818
5 of Hearts,10 of Spades,A of Hearts | 4 of Spades | 8 of Clubs | 8 of Hearts | 9 of Diamonds,4673
7 of Clubs,3 of Diamonds,2 of Hearts | Q of Spades | 9 of Clubs | 8 of Spades | Q of Hearts,3930
7 of Hearts,2 of Diamonds,3 of Spades | Q of Hearts | 5 of Diamonds | A of Hearts | 5 of Spades,5320
Q of Hearts,10 of Diamonds,8 of Hearts | 7 of Clubs | 8 of Clubs | Q of Clubs | 6 of Diamonds,2757
8 of Diamonds,6 of Hearts,K of Clubs | K of Hearts | 9 of Hearts | 7 of Diamonds | J of Diamonds,3654
A of Hearts,8 of Clubs,5 of Spades | 2 of Hearts | A of Diamonds | 7 of Clubs | 8 of Hearts,2528
8 of Clubs,3 of Spades,Q of Spades | 10 of Clubs | 6 of Hearts | 3 of Hearts | 7 of Spades,5855
A of Clubs,J of Clubs,A of Hearts | Q of Spades | 7 of Diamonds | 9 of Hearts | 3 of Clubs,3382
5 of Clubs,J of Diamonds,A of Hearts | 8 of Clubs | 6 of Hearts | 9 of Clubs | 6 of Clubs,5106
2 of Spades,Q of Hearts,K of Clubs | 9 of Clubs | 5 of Hearts | K of Spades | J of Clubs,3602
6 of Spades,5 of Hearts,6 of Diamonds | K of Hearts | Q of Hearts | J of Hearts | 4 of Spades,5141
3 of Hearts,K of Diamonds,10 of Spades | 7 of Spades | K of Clubs | 10 of Clubs | 3 of Spades,2627
10 of Clubs,3 of Hearts,2 of Diamonds | 10 of Hearts | 8 of Spades | J of Hearts | 2 of Hearts,3010
Q of Diamonds,6 of Spades,2 of Diamonds | A of Clubs | 5 of Diamonds | 8 of Spades | 5 of Hearts,5319
3 of Spades,A of Spades,A of Diamonds | 7 of Diamonds | 6 of Diamonds | 7 of Spades | 8 of Diamonds,2539
A of Diamonds,2 of Clubs,8 of Spades | J of Diamonds | J of Clubs | 3 of Spades | 10 of Hearts,4006
9 of Diamonds,6 of Diamonds,8 of Clubs | 5 of Hearts | 4 of Clubs | 2 of Diamonds | J of Diamonds,7277
A of Clubs,6 of Hearts,K of Hearts | 7 of Clubs | 10 of Spades | 3 of Clubs | 4 of Diamonds,6279
Q of Diamonds,7 of Diamonds,3 of Diamonds | A of Spades | 10 of Hearts | 10 of Spades | 4 of Clubs,4219
5 of Diamonds,10 of Hearts,J of Spades | 4 of Spades | 9 of Hearts | 7 of Clubs | 10 of Spades,4343
4 of Spades,2 of Diamonds,9 of Spades | 7 of Hearts | 6 of Spades | 4 of Hearts | 8 of Spades,5711
9 of Spades,6 of Spades,2 of Hearts | 2 of Spades | K of Diamonds | J of Diamonds | 10 of Diamonds,6030
J of Diamonds,9 of Clubs,7 of Clubs | 10 of Spades | 2 of Clubs | 4 of Clubs | 3 of Hearts,7224
J of Clubs,9 of Clubs,3 of Clubs | 10 of Diamonds | Q of Spades | 7 of Diamonds | K of Diamonds,1601
Q of Spades,6 of Clubs,A of Diamonds | 3 of Diamonds | 3 of Spades | J of Clubs | 5 of Diamonds,5756
Q of Spades,4 of Hearts,K of Hearts | 3 of Spades | Q of Clubs | 10 of Spades | Q of Hearts,1754
4 of Diamonds,K of Spades,10 of Hearts | K of Clubs | 2 of Diamonds | 5 of Clubs | 10 of Diamonds,2629
4 of Spades,8 of Spades,6 of Clubs | 8 of Clubs | 2 of Hearts | A of Hearts | 4 of Clubs,3128
6 of Hearts,K of Hearts,5 of Clubs | 9 of Hearts | 2 of Spades | 5 of Diamonds | J of Diamonds,5371
6 of Hearts,3 of Spades,10 of Clubs | 4 of Hearts | K of Clubs | 2 of Hearts | 10 of Hearts,4297
A of Diamonds,K of Diamonds,10 of Spades | 3 of Clubs | 2 of Spades | 7 of Diamonds | 2 of Diamonds,5968
9 of Clubs,2 of Spades,6 of Diamonds | 10 of Spades | 7 of Clubs | 8 of Spades | Q of Hearts,1604
4 of Diamonds,A of Clubs,3 of Hearts | A of Hearts | 4 of Clubs | 6 of Diamonds | K of Spades,2567
7 of Hearts,5 of Hearts,2 of Hearts | 3 of Diamonds | Q of Spades | J of Hearts | 9 of Diamonds,7042
9 of Diamonds,A of Hearts,J of Clubs | 2 of Hearts | 4 of Hearts | 7 of Hearts | 5 of Hearts,809
Q of Hearts,8 of Hearts,3 of Diamonds | 3 of Hearts | 8 of Diamonds | 4 of Clubs | 9 of Diamonds,3141
K of Diamonds,5 of Spades,Q of Diamonds | 4 of Diamonds | 6 of Hearts | 3 of Spades | 7 of Clubs,1607
6 of Hearts,Q of Diamonds,4 of Spades | 5 of Spades | 10 of Diamonds | 3 of Diamonds | A of Spades,6404
J of Diamonds,6 of Hearts,6 of Diamonds | 5 of Spades | 7 of Hearts | A of Spades | A of Clubs,2547
J of Diamonds,2 of Clubs,4 of Clubs | 4 of Diamonds | 5 of Hearts | 5 of Clubs | 4 of Spades,296
2 of Spades,6 of Diamonds,10 of Hearts | J of Hearts | 2 of Clubs | 2 of Diamonds | 4 of Spades,2432
K of Hearts,5 of Spades,6 of Spades | 2 of Spades | 7 of Hearts | J of Diamonds | 3 of Spades,6862
8 of Clubs,Q of Diamonds,7 of Clubs | 9 of Diamonds | K of Diamonds | A of Clubs | 4 of Diamonds,6202
2 of Hearts,5 of Hearts,2 of Clubs | 4 of Hearts | 6 of Diamonds | Q of Hearts | 4 of Spades,3306
3 of Diamonds,10 of Hearts,J of Spades | 5 of Spades | 6 of Spades | 10 of Diamonds | 4 of Clubs,4360
8 of Spades,7 of Hearts,7 of Spades | Q of Diamonds | 6 of Diamonds | 10 of Diamonds | 9 of Clubs,1604
4 of Spades,Q of Spades,9 of Clubs | 10 of Diamonds | 2 of Diamonds | J of Hearts | K of Diamonds,1601
J of Diamonds,2 of Hearts,3 of Clubs | A of Hearts | K of Clubs | J of Clubs | 5 of Clubs,3992
Q of Spades,2 of Clubs,3 of Spades | 4 of Spades | 4 of Hearts | 8 of Spades | 9 of Spades,1296
8 of Spades,Q of Clubs,A of Hearts | 5 of Spades | 4 of Diamonds | 7 of Hearts | 5 of Diamonds,5319
4 of Clubs,K of Clubs,K of Hearts | 9 of Hearts | 7 of Diamonds | J of Diamonds | 3 of Clubs,3655
J of Clubs,3 of Hearts,K of Hearts | Q of Hearts | 2 of Spades | 2 of Diamonds | A of Hearts,5966
J of Diamonds,3 of Spades,8 of Spades | 8 of Hearts | J of Spades | Q of Hearts | 5 of Spades,2855
Q of Clubs,5 of Clubs,10 of Hearts | 8 of Clubs | 2 of Hearts | 3 of Hearts | 9 of Spades,7093
